t,H,L,R
32.6000,27.3402,0.0001,15.1948
32.7000,27.5771,0.0001,15.0436
32.8000,27.8157,0.0001,14.8939
32.9000,28.0561,0.0001,14.7457
33.0000,28.2981,0.0001,14.5990
33.1000,28.5419,0.0001,14.4537
33.2000,28.7875,0.0001,14.3099
33.3000,29.0348,0.0001,14.1675
33.4000,29.2839,0.0001,14.0265
33.5000,29.5347,0.0001,13.8870
33.6000,29.7873,0.0001,13.7488
33.7000,30.0417,0.0001,13.6120
33.8000,30.2979,0.0001,13.4766
33.9000,30.5559,0.0001,13.3425
34.0000,30.8156,0.0001,13.2097
34.1000,31.0772,0.0001,13.0783
34.2000,31.3406,0.0001,12.9481
34.3000,31.6058,0.0001,12.8193
34.4000,31.8728,0.0001,12.6918
34.5000,32.1417,0.0001,12.5655
34.6000,32.4123,0.0001,12.4405
34.7000,32.6848,0.0001,12.3167
34.8000,32.9592,0.0001,12.1941
34.9000,33.2354,0.0001,12.0728
35.0000,33.5134,0.0001,11.9527
35.1000,33.7933,0.0001,11.8337
35.2000,34.0751,0.0001,11.7160
35.3000,34.3587,0.0001,11.5994
35.4000,34.6442,0.0001,11.4840
35.5000,34.9315,0.0001,11.3697
35.6000,35.2208,0.0001,11.2566
35.7000,35.5119,0.0001,11.1446
35.8000,35.8049,0.0001,11.0337
35.9000,36.0998,0.0001,10.9239
36.0000,36.3966,0.0001,10.8152
36.1000,36.6952,0.0001,10.7076
36.2000,36.9958,0.0001,10.6011
36.3000,37.2983,0.0001,10.4956
36.4000,37.6026,0.0001,10.3912
36.5000,37.9089,0.0001,10.2878
36.6000,38.2171,0.0001,10.1854
36.7000,38.5272,0.0001,10.0841
36.8000,38.8392,0.0002,9.9837
36.9000,39.1531,0.0002,9.8844
37.0000,39.4689,0.0002,9.7861
37.1000,39.7866,0.0002,9.6887
37.2000,40.1063,0.0002,9.5923
37.3000,40.4279,0.0002,9.4969
37.4000,40.7514,0.0002,9.4024
37.5000,41.0768,0.0002,9.3088
37.6000,41.4042,0.0002,9.2162
37.7000,41.7334,0.0002,9.1245
37.8000,42.0646,0.0002,9.0337
37.9000,42.3978,0.0002,8.9438
38.0000,42.7328,0.0002,8.8548
38.1000,43.0698,0.0002,8.7667
38.2000,43.4087,0.0002,8.6795
38.3000,43.7495,0.0002,8.5931
38.4000,44.0922,0.0002,8.5076
38.5000,44.4369,0.0002,8.4230
38.6000,44.7834,0.0002,8.3392
38.7000,45.1319,0.0003,8.2562
38.8000,45.4823,0.0003,8.1741
38.9000,45.8347,0.0003,8.0927
39.0000,46.1889,0.0003,8.0122
39.1000,46.5451,0.0003,7.9325
39.2000,46.9031,0.0003,7.8536
39.3000,47.2631,0.0003,7.7754
39.4000,47.6249,0.0003,7.6981
39.5000,47.9887,0.0003,7.6215
39.6000,48.3543,0.0003,7.5457
39.7000,48.7219,0.0004,7.4706
39.8000,49.0913,0.0004,7.3962
39.9000,49.4627,0.0004,7.3227
40.0000,49.8359,0.0004,7.2498
40.1000,50.2109,0.0004,7.1777
40.2000,50.5879,0.0004,7.1063
40.3000,50.9667,0.0004,7.0356
40.4000,51.3474,0.0005,6.9656
40.5000,51.7299,0.0005,6.8963
40.6000,52.1143,0.0005,6.8276
40.7000,52.5005,0.0005,6.7597
40.8000,52.8885,0.0005,6.6925
40.9000,53.2784,0.0006,6.6259
41.0000,53.6701,0.0006,6.5600
41.1000,54.0636,0.0006,6.4947
41.2000,54.4590,0.0006,6.4301
41.3000,54.8561,0.0007,6.3661
41.4000,55.2550,0.0007,6.3028
41.5000,55.6557,0.0007,6.2401
41.6000,56.0582,0.0007,6.1780
41.7000,56.4625,0.0008,6.1165
41.8000,56.8685,0.0008,6.0557
41.9000,57.2763,0.0008,5.9954
42.0000,57.6858,0.0009,5.9358
42.1000,58.0970,0.0009,5.8767
42.2000,58.5100,0.0010,5.8183
42.3000,58.9246,0.0010,5.7604
42.4000,59.3410,0.0011,5.7031
42.5000,59.7591,0.0011,5.6463
42.6000,60.1788,0.0012,5.5902
42.7000,60.6002,0.0012,5.5346
42.8000,61.0233,0.0013,5.4795
42.9000,61.4480,0.0013,5.4250
43.0000,61.8743,0.0014,5.3710
43.1000,62.3023,0.0015,5.3176
43.2000,62.7318,0.0016,5.2647
43.3000,63.1630,0.0016,5.2123
43.4000,63.5957,0.0017,5.1605
43.5000,64.0300,0.0018,5.1092
43.6000,64.4659,0.0019,5.0584
